White alone
Black or African American alone
Apache alone
Cherokee alone
Chickasaw alone
Choctaw alone
Creek alone
Hopi alone
Iroquois alone
Lumbee alone
Mexican American Indian alone
Navajo alone
Sioux alone
Other specified American Indian tribes alone
All other specified American Indian tribe combinations
"American Indian, tribe not specified"
Other American Indian and Alaska Native specified
"American Indian and Alaska Native, not specified"
Asian Indian alone
Bangladeshi alone
Cambodian alone
"Chinese, except Taiwanese, alone"
Taiwanese alone
Filipino alone
Indonesian alone
Japanese alone
Korean alone
Laotian alone
Nepalese alone
Pakistani alone
Thai alone
Vietnamese alone
Other Asian alone
All combinations of Asian races only
Native Hawaiian alone
Samoan alone
Guamanian or Chamorro alone
Other Native Hawaiian and Other Pacific Islander
Some Other Race alone
Two or More Races
